FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
13.8571,1.89293,1.07803,0,43.4507,5.17169,1.83091,2.66331,2.35447,2.6607,3.49764,9.83405,1,1,1,1,0,1,0
14,1.2501,0.965784,0,43.4507,5.36207,1.78346,2.51408,2.35447,2.32655,3.49764,7.76231,1,1,1,1,0,1,0
14.1429,2.1824,4.59157,0,43.4507,5.29363,1.85239,2.8422,2.35447,2.3808,3.49764,7.03631,1,1,1,1,0,1,0
14.2857,1.95993,1.13465,0,43.4507,2.84308,1.75964,1.97837,2.35447,2.20657,3.49764,11.3629,1,1,1,1,0,1,0
14.4286,1.21641,0.914288,0,43.4507,2.88782,1.51442,1.87849,2.35447,2.20248,3.49764,7.23201,1,1,1,1,0,1,0
14.5714,1.37296,1.09177,0,43.4507,2.35919,1.31732,1.93121,2.35447,2.47224,3.49764,12.445,1,1,1,1,0,1,0
14.7143,1.19575,0.917123,0,43.4507,3.10115,1.77723,2.48171,2.35447,2.36927,3.49764,7.37415,1,1,1,1,0,1,0
14.8571,1.62389,1.09416,0,43.4507,3.36026,1.587,2.07423,2.35447,2.53005,3.49764,11.9382,1,1,1,1,0,1,0
15,4.94716,1.8135,0,43.4507,4.22524,1.82484,1.81586,2.35447,2.49323,3.49764,7.25422,1,1,1,1,0,1,0
15.1429,1.3399,0.919755,0,43.4507,3.24734,1.86892,1.62673,2.35447,2.25413,3.49764,10.2625,1,1,1,1,0,1,0
15.2857,7.30081,0.92323,0,43.4507,2.58884,1.91626,1.5833,2.35447,2.21424,3.49764,7.21222,1,1,1,1,0,1,0
15.4286,3.50127,0.96965,0,43.4507,2.58884,1.91626,1.61722,2.35447,2.21424,3.49764,9.78396,1,1,1,1,0,1,0
15.5714,1.14346,0.808627,0,43.4507,2.58884,1.91626,1.62218,2.35447,2.21424,3.49764,11.7497,1,1,1,1,0,1,0
15.7143,6.38957,1.19323,0,43.4507,2.58884,1.91626,2.25802,2.35447,2.21424,3.49764,7.8039,1,1,1,1,0,1,0
15.8571,0.773264,0.939501,0,43.4507,2.58884,1.91626,5.20992,2.35447,2.21424,3.49764,7.86779,1,1,1,1,0,1,0
